rank,sample_id,eval_token_index,channel,tile_id,tile_offset,activation,quantized_activation,reconstruction_error,abs_reconstruction_error,nearest_centroid
531,94,8889,20,5,0,-0.21875,1.5519205331802368,-1.7706705331802368,1.7706705331802368,82
532,17,1871,17,4,1,-1.171875,0.5928698778152466,-1.7647448778152466,1.7647448778152466,124
533,15,1654,54,13,2,1.5234375,3.285937547683716,-1.7625000476837158,1.7625000476837158,113
534,94,8889,45,11,1,-0.66015625,1.099058985710144,-1.759215235710144,1.759215235710144,37
535,1,149,26,6,2,-0.287109375,1.4718811511993408,-1.7589905261993408,1.7589905261993408,101
536,25,2454,20,5,0,-0.20703125,1.5519205331802368,-1.7589517831802368,1.7589517831802368,82
537,1,149,20,5,0,-0.205078125,1.5519205331802368,-1.7569986581802368,1.7569986581802368,82
538,50,4618,17,4,1,-1.1640625,0.5928698778152466,-1.7569323778152466,1.7569323778152466,124
539,82,7542,59,14,3,-0.404296875,-2.1573808193206787,1.7530839443206787,1.7530839443206787,95
540,93,8837,66,16,2,-2.71875,-0.9661680459976196,-1.7525819540023804,1.7525819540023804,93
541,95,9149,23,5,3,1.359375,-0.3923456072807312,1.751720666885376,1.751720666885376,126
542,92,8820,20,5,0,-0.19921875,1.5519205331802368,-1.7511392831802368,1.7511392831802368,82
543,90,8510,34,8,2,-1.125,0.6244300007820129,-1.7494299411773682,1.7494299411773682,76
544,40,3767,27,6,3,0.1787109375,-1.570608377456665,1.749319314956665,1.749319314956665,105
545,67,6359,59,14,3,-0.408203125,-2.1573808193206787,1.7491776943206787,1.7491776943206787,95
546,20,2026,17,4,1,-1.15625,0.5928698778152466,-1.7491198778152466,1.7491198778152466,124
547,89,8507,19,4,3,-0.546875,-2.292888641357422,1.7460136413574219,1.7460136413574219,111
548,18,1976,19,4,3,0.5,2.2438507080078125,-1.7438507080078125,1.7438507080078125,124
549,60,5817,21,5,1,-1.4453125,-3.1875,1.7421875,1.7421875,89
550,29,2579,55,13,3,2.890625,1.148675560951233,1.741949439048767,1.741949439048767,115
551,56,5336,55,13,3,5.375,3.6342718601226807,1.7407281398773193,1.7407281398773193,30
552,11,1370,52,13,0,0.1953125,-1.5451741218566895,1.7404866218566895,1.7404866218566895,30
553,12,1434,21,5,1,-0.5078125,1.2301476001739502,-1.7379601001739502,1.7379601001739502,126
554,99,9841,66,16,2,-2.703125,-0.9661680459976196,-1.7369569540023804,1.7369569540023804,93
555,25,2454,26,6,2,-0.263671875,1.4718811511993408,-1.7355530261993408,1.7355530261993408,101
556,41,3777,47,11,3,0.6015625,-1.1335363388061523,1.7350988388061523,1.7350988388061523,37
557,18,1976,25,6,1,1.3984375,-0.33161064982414246,1.7300481796264648,1.7300481796264648,101
558,36,3341,3,0,3,3.03125,1.3017035722732544,1.7295464277267456,1.7295464277267456,86
559,12,1434,35,8,3,-0.1640625,1.5591862201690674,-1.7232487201690674,1.7232487201690674,31
560,17,1871,24,6,0,2.65625,0.9357930421829224,1.7204569578170776,1.7204569578170776,38
