channel,tile_id,tile_offset,rmse,mae,max_abs_error,mean_abs_activation,p99_abs_activation
653,163,1,0.18566280603408813,0.14393648505210876,0.5784988403320312,0.28985893726348877,0.8843753337860107
654,163,2,0.1814684420824051,0.14710626006126404,0.42590346932411194,0.28040289878845215,0.7753910422325134
655,163,3,0.22489017248153687,0.18658672273159027,0.5322675704956055,0.30386656522750854,1.056875467300415
656,164,0,0.19310639798641205,0.15774688124656677,0.4511195421218872,0.2488250732421875,0.7229297161102295
657,164,1,0.19180737435817719,0.15928590297698975,0.4407891631126404,0.24921950697898865,0.8161726593971252
658,164,2,0.20369645953178406,0.16749510169029236,0.4548185169696808,0.2464752197265625,0.7696875333786011
659,164,3,0.2050751894712448,0.17060595750808716,0.4519428610801697,0.2958625853061676,0.9111729264259338
660,165,0,0.19209913909435272,0.16016271710395813,0.43775928020477295,0.27148064970970154,0.8050391674041748
661,165,1,0.22824811935424805,0.19342170655727386,0.49778199195861816,0.268790066242218,0.9243755340576172
662,165,2,0.21489617228507996,0.17617057263851166,0.5482160449028015,0.2497229427099228,0.783437967300415
663,165,3,0.2050437480211258,0.17189979553222656,0.4325541853904724,0.26166442036628723,0.8425396680831909
664,166,0,0.21036580204963684,0.16915178298950195,0.4480825662612915,0.305094838142395,0.8521094918251038
665,166,1,0.1949062943458557,0.16015122830867767,0.4612630009651184,0.2660367488861084,0.7426954507827759
666,166,2,0.2337854951620102,0.19882960617542267,0.4670851230621338,0.3286186158657074,0.9180468916893005
667,166,3,0.20731672644615173,0.17022983729839325,0.5384783148765564,0.2863385081291199,0.8744148015975952
668,167,0,0.2140110284090042,0.17868845164775848,0.46273118257522583,0.24250289797782898,0.6843751668930054
669,167,1,0.21452370285987854,0.17597927153110504,0.5988459587097168,0.2645342946052551,0.9337500333786011
670,167,2,0.20840871334075928,0.1731441468000412,0.5144602656364441,0.2615995705127716,0.6769542098045349
671,167,3,0.19274330139160156,0.15664689242839813,0.47655531764030457,0.3808770775794983,1.1271097660064697
672,168,0,0.1961309313774109,0.16416697204113007,0.5268816351890564,0.29909056425094604,0.8487111330032349
673,168,1,0.2132197618484497,0.17888326942920685,0.4340600073337555,0.24016760289669037,0.9263282418251038
674,168,2,0.2234601527452469,0.18034984171390533,0.5044537782669067,0.2664172351360321,0.7640239000320435
675,168,3,0.193417489528656,0.1649828851222992,0.46155500411987305,0.27265074849128723,0.7815625667572021
676,169,0,0.20143015682697296,0.16204391419887543,0.5478540062904358,0.25231611728668213,0.8382817506790161
677,169,1,0.24190926551818848,0.20725290477275848,0.49901336431503296,0.25728026032447815,0.9504299163818359
678,169,2,0.19386768341064453,0.15513354539871216,0.5265324115753174,0.25144898891448975,0.738945484161377
679,169,3,0.22116409242153168,0.18190553784370422,0.5767852067947388,0.2651503086090088,0.9985551834106445
680,170,0,0.20237985253334045,0.15901169180870056,0.4840298295021057,0.25251901149749756,0.6682031750679016
681,170,1,0.2019067257642746,0.16594137251377106,0.48459136486053467,0.28209152817726135,0.8486330509185791
682,170,2,0.1770351678133011,0.14549288153648376,0.38774096965789795,0.28689107298851013,1.117343783378601
683,170,3,0.2080620676279068,0.17169426381587982,0.5030949115753174,0.260216623544693,0.8360546827316284
684,171,0,0.20432843267917633,0.1715770661830902,0.4709309935569763,0.2622698247432709,0.7347266674041748
685,171,1,0.22959637641906738,0.19374440610408783,0.44152769446372986,0.2794519066810608,0.9626566171646118
686,171,2,0.20119012892246246,0.16231326758861542,0.47394847869873047,0.22404822707176208,0.5907033085823059
687,171,3,0.19856132566928864,0.15613828599452972,0.5076802372932434,0.29769134521484375,0.8217190504074097
688,172,0,0.2065543532371521,0.17146362364292145,0.46139925718307495,0.240661159157753,0.6251171827316284
689,172,1,0.20091788470745087,0.1710403859615326,0.4692217707633972,0.27192261815071106,0.9336718916893005
690,172,2,0.19815023243427277,0.1695607602596283,0.42941367626190186,0.25406309962272644,0.7617578506469727
691,172,3,0.20036262273788452,0.16471554338932037,0.4639112055301666,0.30741822719573975,0.8617973923683167
692,173,0,0.21854986250400543,0.18467622995376587,0.5253543257713318,0.2948468029499054,0.8264458179473877
693,173,1,0.20771241188049316,0.17468799650669098,0.4989573359489441,0.26314330101013184,0.9813673496246338
694,173,2,0.2529977262020111,0.21470792591571808,0.5574432611465454,0.24124324321746826,0.8360546827316284
695,173,3,0.2280600368976593,0.1909935623407364,0.49805086851119995,0.30004599690437317,1.065234899520874
696,174,0,0.18086357414722443,0.1497199684381485,0.36470985412597656,0.2823312282562256,0.9184376001358032
697,174,1,0.21361646056175232,0.17035914957523346,0.5299293398857117,0.2918221950531006,0.7468751668930054
698,174,2,0.19643741846084595,0.16625243425369263,0.40011516213417053,0.2890423536300659,0.9375781416893005
699,174,3,0.2000197470188141,0.1614881008863449,0.4849945604801178,0.24614578485488892,0.6691408753395081
700,175,0,0.21297019720077515,0.17683865129947662,0.5382645726203918,0.27748963236808777,0.7425391674041748
701,175,1,0.20797832310199738,0.169326514005661,0.44947531819343567,0.2940365970134735,0.7853516340255737
702,175,2,0.20031405985355377,0.16292957961559296,0.4435267448425293,0.2940014600753784,0.8575395345687866
703,175,3,0.21041016280651093,0.17049700021743774,0.5657377243041992,0.29396316409111023,0.8754305839538574
704,176,0,0.22855080664157867,0.1794857233762741,0.5215457677841187,0.338990181684494,0.9269924163818359
705,176,1,0.20418593287467957,0.16597837209701538,0.5727794170379639,0.28324830532073975,0.8792579174041748
706,176,2,0.22595106065273285,0.189193993806839,0.53303462266922,0.2943798005580902,0.926601767539978
707,176,3,0.22506661713123322,0.1831940859556198,0.48424482345581055,0.24712219834327698,0.8714063167572021
708,177,0,0.20418275892734528,0.17335839569568634,0.434198260307312,0.26793333888053894,0.8527736663818359
709,177,1,0.20836208760738373,0.17274336516857147,0.48744192719459534,0.2993127703666687,0.9808204174041748
710,177,2,0.20392057299613953,0.1680191159248352,0.43868929147720337,0.2545146644115448,0.813164234161377
711,177,3,0.20707513391971588,0.1735820174217224,0.46411609649658203,0.31245940923690796,0.9537501335144043
712,178,0,0.1764649748802185,0.14373987913131714,0.4836175739765167,0.26779404282569885,0.8652738332748413
713,178,1,0.18074476718902588,0.14060504734516144,0.45835936069488525,0.2933291494846344,1.0236718654632568
714,178,2,0.19460126757621765,0.160172238945961,0.5173309445381165,0.27395114302635193,0.9183594584465027
715,178,3,0.19835543632507324,0.16891799867153168,0.421142578125,0.25410225987434387,0.8630476593971252
716,179,0,0.223964124917984,0.18151623010635376,0.4923136532306671,0.27054938673973083,0.8054689168930054
717,179,1,0.2000676840543747,0.16833965480327606,0.47382834553718567,0.2597973644733429,0.7291021347045898
718,179,2,0.21729812026023865,0.1819705218076706,0.5095455646514893,0.24035575985908508,0.8015235662460327
719,179,3,0.19141165912151337,0.1555546373128891,0.5390674471855164,0.24713318049907684,0.6757820844650269
720,180,0,0.21170200407505035,0.17701195180416107,0.45965784788131714,0.23424194753170013,0.7551174163818359
721,180,1,0.2133387178182602,0.1710292398929596,0.684879720211029,0.2941358983516693,0.8048837184906006
722,180,2,0.22371312975883484,0.1938437968492508,0.44958874583244324,0.2664473056793213,0.6923048496246338
723,180,3,0.207330122590065,0.16801927983760834,0.5272841453552246,0.29739320278167725,1.1259377002716064
724,181,0,0.19405147433280945,0.15935859084129333,0.4546775221824646,0.2842871844768524,0.9079691171646118
725,181,1,0.22281299531459808,0.18652011454105377,0.5205379724502563,0.28713104128837585,0.8871094584465027
726,181,2,0.18362070620059967,0.15214566886425018,0.5401676893234253,0.4360314905643463,1.1573439836502075
727,181,3,0.20824351906776428,0.17673151195049286,0.4206715226173401,0.2701336741447449,0.8957424163818359
728,182,0,0.22420264780521393,0.19126293063163757,0.5236181020736694,0.3255409300327301,0.9036331176757812
729,182,1,0.23197738826274872,0.19053766131401062,0.47380077838897705,0.33498045802116394,1.0313282012939453
730,182,2,0.243695929646492,0.20032493770122528,0.5740694999694824,0.24610763788223267,0.7904307842254639
731,182,3,0.24114000797271729,0.19380837678909302,0.5767281651496887,0.25491616129875183,0.971953809261322
732,183,0,0.20796562731266022,0.17601802945137024,0.47615718841552734,0.30510374903678894,0.9825395345687866
733,183,1,0.20444649457931519,0.17401185631752014,0.45134595036506653,0.32322874665260315,0.915078341960907
734,183,2,0.18648728728294373,0.15114836394786835,0.4293358027935028,0.26309576630592346,0.7782814502716064
735,183,3,0.19579271972179413,0.16080088913440704,0.5112442374229431,0.25934284925460815,0.9066016674041748
736,184,0,0.20983749628067017,0.17135654389858246,0.46727657318115234,0.2713475525379181,0.7812117338180542
737,184,1,0.20931608974933624,0.18401597440242767,0.46518051624298096,0.2982386350631714,0.861406683921814
738,184,2,0.2080606073141098,0.1744101196527481,0.4806159734725952,0.2853015065193176,0.8791797161102295
739,184,3,0.2008366733789444,0.1641179472208023,0.5400185585021973,0.2998513877391815,0.965664267539978
740,185,0,0.19764019548892975,0.15949521958827972,0.5191391110420227,0.2814074456691742,0.8871484994888306
741,185,1,0.22333817183971405,0.18503306806087494,0.5270394086837769,0.2769050598144531,0.8203125
742,185,2,0.20297034084796906,0.16682381927967072,0.48554283380508423,0.2533508241176605,0.8598438501358032
743,185,3,0.18064211308956146,0.14310331642627716,0.45183122158050537,0.29946717619895935,0.7751957178115845
744,186,0,0.19535498321056366,0.15996389091014862,0.4776889979839325,0.2689288258552551,1.047031283378601
745,186,1,0.19863110780715942,0.16139410436153412,0.4878627061843872,0.2791956961154938,0.8478516340255737
746,186,2,0.18643759191036224,0.1542990356683731,0.386807382106781,0.29769349098205566,0.8835548162460327
747,186,3,0.19757679104804993,0.16591455042362213,0.414539098739624,0.2795996069908142,0.9242973923683167
748,187,0,0.20755746960639954,0.17642933130264282,0.4344484806060791,0.26537322998046875,0.79296875
749,187,1,0.20576129853725433,0.16942216455936432,0.42564043402671814,0.307228684425354,0.8897272348403931
750,187,2,0.20243456959724426,0.16313432157039642,0.490966796875,0.26890915632247925,0.7857422828674316
751,187,3,0.20866481959819794,0.17495903372764587,0.495326429605484,0.28167426586151123,0.760860025882721
752,188,0,0.20833970606327057,0.16926690936088562,0.5509076118469238,0.3181084096431732,1.1019532680511475
753,188,1,0.2165229767560959,0.1720651388168335,0.722796618938446,0.2760763466358185,0.8611722588539124
754,188,2,0.21686437726020813,0.1749005913734436,0.5403319001197815,0.2844194173812866,0.7779688835144043
755,188,3,0.20497047901153564,0.1720241755247116,0.4439713656902313,0.256317138671875,0.8321093916893005
756,189,0,0.19762398302555084,0.1614818572998047,0.5169914960861206,0.29244887828826904,0.8322656750679016
757,189,1,0.20125585794448853,0.16570495069026947,0.47276103496551514,0.2895428538322449,0.8065629005432129
758,189,2,0.1871032565832138,0.15005920827388763,0.45191851258277893,0.3171122670173645,1.041797399520874
759,189,3,0.20337414741516113,0.16946540772914886,0.4455847144126892,0.25560179352760315,0.8953126668930054
760,190,0,0.22373640537261963,0.18632207810878754,0.5818941593170166,0.24591384828090668,0.8017189502716064
761,190,1,0.14805211126804352,0.12115687131881714,0.4328784942626953,0.2802349925041199,0.697500467300415
762,190,2,0.22767317295074463,0.19402340054512024,0.46258288621902466,0.29689452052116394,0.8754297494888306
763,190,3,0.1824847012758255,0.15538157522678375,0.4001682996749878,0.3097490072250366,0.801797091960907
764,191,0,0.21469219028949738,0.18819883465766907,0.44964128732681274,0.2927630543708801,0.9048833847045898
765,191,1,0.20582786202430725,0.1724206954240799,0.4872635304927826,0.3085343837738037,0.79296875
766,191,2,0.2023739367723465,0.16298158466815948,0.545464277267456,0.28735777735710144,1.0314843654632568
767,191,3,0.20679748058319092,0.16574633121490479,0.4915615916252136,0.2483566254377365,0.8674219250679016
768,192,0,0.21542981266975403,0.18190665543079376,0.4127604365348816,0.3224676549434662,0.8407423496246338
769,192,1,0.1972503811120987,0.16911396384239197,0.4135870635509491,0.27893492579460144,0.8594921827316284
770,192,2,0.19107232987880707,0.15456193685531616,0.4857313632965088,0.26304078102111816,0.7468751668930054
771,192,3,0.19613179564476013,0.1570195108652115,0.5133481621742249,0.2554345726966858,0.8325782418251038
772,193,0,0.2148793637752533,0.17576047778129578,0.5660315752029419,0.250428706407547,0.7831254005432129
773,193,1,0.2111779749393463,0.175432950258255,0.46838605403900146,0.28722086548805237,0.8654301166534424
774,193,2,0.19234643876552582,0.16385336220264435,0.3777194321155548,0.30410516262054443,0.965507984161377
775,193,3,0.22621320188045502,0.18816615641117096,0.5843081474304199,0.2597275972366333,0.9258984327316284
776,194,0,0.18767066299915314,0.1526099145412445,0.5153865814208984,0.25270092487335205,0.7564458847045898
777,194,1,0.1901332437992096,0.16193926334381104,0.3841295838356018,0.2786334156990051,1.03125
778,194,2,0.2058575600385666,0.1693314015865326,0.606972336769104,0.27029114961624146,0.7941408753395081
779,194,3,0.1867569535970688,0.1609324961900711,0.43655920028686523,0.2837302088737488,0.9468753337860107
780,195,0,0.17272666096687317,0.14105582237243652,0.43178147077560425,0.2670377492904663,0.8766409754753113
781,195,1,0.17984050512313843,0.14402763545513153,0.47966134548187256,0.25928664207458496,0.7041018009185791
782,195,2,0.17591287195682526,0.14570388197898865,0.5489948391914368,0.3126625120639801,0.9649218916893005
783,195,3,0.1725407838821411,0.14213018119335175,0.41883692145347595,0.2705857753753662,0.8713672161102295
784,196,0,0.18020664155483246,0.14875520765781403,0.39657825231552124,0.2912219166755676,0.9267580509185791
785,196,1,0.2123589664697647,0.1794268637895584,0.46155521273612976,0.2872692942619324,0.7747659087181091
786,196,2,0.18939544260501862,0.15649038553237915,0.46265172958374023,0.2726002633571625,0.8652738332748413
787,196,3,0.22266140580177307,0.1896304190158844,0.43445539474487305,0.29384490847587585,0.8008984327316284
788,197,0,0.19249393045902252,0.1612851917743683,0.4283648133277893,0.2620260715484619,0.6689064502716064
789,197,1,0.20298445224761963,0.17124025523662567,0.4736136794090271,0.2587548494338989,0.715507984161377
790,197,2,0.2086910605430603,0.17224889993667603,0.43438026309013367,0.2610522508621216,0.7937110662460327
791,197,3,0.19781959056854248,0.1551072895526886,0.5096213817596436,0.30714356899261475,0.9196487665176392
792,198,0,0.17224518954753876,0.14011092483997345,0.41985172033309937,0.33835533261299133,1.0391407012939453
