tile_size_v,slice_start,slice_width,abs_corr_threshold,is_valid_even_tiling,num_tiles,mean_tile_internal_cooccurrence_count_share,weighted_tile_internal_cooccurrence_count_share,mean_tile_internal_cooccurrence_energy_share,weighted_tile_internal_cooccurrence_energy_share,mean_tile_internal_cooccurrence_count_share_percent,weighted_tile_internal_cooccurrence_count_share_percent,mean_tile_internal_cooccurrence_energy_share_percent,weighted_tile_internal_cooccurrence_energy_share_percent,mean_internal_cooccurrence_count,mean_cross_cooccurrence_count_touching_tile,mean_total_cooccurrence_count_touching_tile,total_internal_cooccurrence_count,total_cross_cooccurrence_count_touching_tiles,total_cooccurrence_count_touching_tiles,total_internal_cooccurrence_energy,total_cross_cooccurrence_energy_touching_tiles,total_cooccurrence_energy_touching_tiles
512,0,2048,0.0,True,4,0.14261791794585543,0.14261791794585543,0.17234317889435144,0.19288721208265328,14.261791794585543,14.261791794585543,17.234317889435143,19.28872120826533,130816.0,786432.0,917248.0,523264,3145728,3668992,570.9117605578273,2388.9099632026278,2959.821723760455
512,0,2048,0.01,True,4,0.1449786913196273,0.14517276512195934,0.1725083665392301,0.19358344442440173,14.497869131962728,14.517276512195934,17.25083665392301,19.358344442440174,92794.25,546404.5,639198.75,371177,2185618,2556795,565.965058068895,2357.6581874608423,2923.6232455297377
512,0,2048,0.02,True,4,0.14824480127036185,0.1496041146070408,0.17343136752736302,0.19796848300550388,14.824480127036185,14.960411460704078,17.343136752736303,19.796848300550387,60392.75,343291.0,403683.75,241571,1373164,1614735,536.4648720322022,2173.3850186561435,2709.849890688345
512,0,2048,0.05,True,4,0.1582232776524814,0.18970691094515016,0.1789817468475828,0.2573023032425901,15.82232776524814,18.970691094515015,17.89817468475828,25.73023032425901,12612.0,53869.5,66481.5,50448,215478,265926,333.72024563827455,963.2764832391812,1296.9967288774558
512,0,2048,0.1,True,4,0.17601680465895073,0.4464524765729585,0.19552690980403545,0.5461095520450701,17.601680465895072,44.64524765729585,19.552690980403543,54.61095520450701,1667.5,2067.5,3735.0,6670,8270,14940,141.59004356291211,117.68035929432776,259.27040285723984
1024,0,2048,0.0,True,2,0.3331162487788994,0.3331162487788994,0.3818193061465577,0.3980881620641765,33.31162487788994,33.31162487788994,38.18193061465577,39.80881620641765,523776.0,1048576.0,1572352.0,1047552,2097152,3144704,1005.3323114012551,1520.0688615157724,2525.4011729170275
1024,0,2048,0.01,True,2,0.33791456589172597,0.33813078525446205,0.38226689283012033,0.3990353920141532,33.7914565891726,33.81307852544621,38.226689283012036,39.90353920141532,369933.0,724120.0,1094053.0,739866,1448240,2188106,995.3066553161204,1498.9749929663913,2494.281648282512
1024,0,2048,0.02,True,2,0.34534478480654596,0.3468504059837897,0.38500731305804403,0.40501236246243394,34.5344784806546,34.68504059837897,38.5007313058044,40.501236246243394,239024.5,450104.0,689128.5,478049,900208,1378257,935.7907776994942,1374.7332073215593,2310.5239850210537
1024,0,2048,0.05,True,2,0.3756325881375978,0.4093701415277153,0.40601859646204863,0.47703327082236974,37.56325881375978,40.937014152771525,40.601859646204865,47.703327082236974,45947.5,66292.0,112239.5,91895,132584,224479,526.6680632763823,577.3808479629656,1104.048911239348
1024,0,2048,0.1,True,2,0.41819967820166026,0.667309621171206,0.439806387476849,0.7374801173246945,41.81996782016603,66.7309621171206,43.9806387476849,73.74801173246945,4324.5,2156.0,6480.5,8649,4312,12961,170.14675800259383,60.56693041496435,230.7136884175582
