tile_size_v,slice_start,slice_width,abs_corr_threshold,is_valid_even_tiling,num_tiles,mean_tile_internal_cooccurrence_count_share,weighted_tile_internal_cooccurrence_count_share,mean_tile_internal_cooccurrence_energy_share,weighted_tile_internal_cooccurrence_energy_share,mean_tile_internal_cooccurrence_count_share_percent,weighted_tile_internal_cooccurrence_count_share_percent,mean_tile_internal_cooccurrence_energy_share_percent,weighted_tile_internal_cooccurrence_energy_share_percent,mean_internal_cooccurrence_count,mean_cross_cooccurrence_count_touching_tile,mean_total_cooccurrence_count_touching_tile,total_internal_cooccurrence_count,total_cross_cooccurrence_count_touching_tiles,total_cooccurrence_count_touching_tiles,total_internal_cooccurrence_energy,total_cross_cooccurrence_energy_touching_tiles,total_cooccurrence_energy_touching_tiles
64,0,2560,0.02,True,40,0.012971281994536588,0.013115769230489694,0.015159539714650977,0.020288964689048665,1.2971281994536588,1.3115769230489693,1.5159539714650978,2.0288964689048665,902.3,67892.75,68795.05,36092,2715710,2751802,89.02620305563147,4298.886360254461,4387.912563310092
64,0,2560,0.05,True,40,0.013692142287732658,0.017432351246306446,0.015079341904858296,0.02992075603478657,1.3692142287732658,1.7432351246306446,1.5079341904858294,2.992075603478657,177.725,10017.4,10195.125,7109,400696,407805,58.77430890320228,1905.5580373406528,1964.332346243855
64,0,2560,0.1,True,40,0.010647458786541825,0.05259385359734791,0.012076301751066294,0.08429135476189789,1.0647458786541826,5.259385359734791,1.2076301751066294,8.429135476189789,29.35,528.7,558.05,1174,21148,22322,33.12597156885088,359.86773060171583,392.99370217056673
128,0,2560,0.0,True,20,0.025445802444399916,0.02544580244439992,0.03121246465596053,0.03887380525666551,2.5445802444399916,2.544580244439992,3.121246465596053,3.8873805256665515,8128.0,311296.0,319424.0,162560,6225920,6388480,184.57341215256207,4563.441631240035,4748.015043392597
128,0,2560,0.01,True,20,0.025853356557503863,0.025892750817594512,0.03123781706467548,0.03907451530004308,2.585335655750386,2.5892750817594514,3.123781706467548,3.907451530004308,5685.85,213906.5,219592.35,113717,4278130,4391847,182.9919764777784,4500.162122111302,4683.154098589079
128,0,2560,0.02,True,20,0.026474515806710636,0.026752939781302148,0.03137350878682689,0.040351705844933417,2.6474515806710635,2.675293978130215,3.137350878682689,4.035170584493342,3632.05,132130.6,135762.65,72641,2642612,2715253,173.64523475207847,4129.648296861566,4303.2935316136445
128,0,2560,0.05,True,20,0.028100036509421944,0.035457417657833924,0.031673101213302114,0.05885838712306781,2.8100036509421944,3.5457417657833923,3.1673101213302113,5.885838712306781,710.4,19324.9,20035.3,14208,386498,400706,112.45771497681909,1798.1912251934193,1910.648940170238
128,0,2560,0.1,True,20,0.024924209747208666,0.10783158093262295,0.02869451054197757,0.16558144765136804,2.4924209747208668,10.783158093262294,2.869451054197757,16.558144765136802,114.35,946.1,1060.45,2287,18922,21209,60.53417596228381,305.05132181485004,365.5854977771338
256,0,2560,0.0,True,10,0.05243676742751389,0.05243676742751388,0.06337886371235832,0.07456134659409602,5.243676742751389,5.243676742751388,6.3378863712358315,7.456134659409602,32640.0,589824.0,622464.0,326400,5898240,6224640,342.2609966435584,4248.0664622580425,4590.327458901602
256,0,2560,0.01,True,10,0.05323125012522606,0.053312445836009144,0.06342681651682545,0.07489545646696051,5.323125012522606,5.331244583600914,6.342681651682545,7.489545646696051,22804.5,404947.4,427751.9,228045,4049474,4277519,339.0583050047927,4188.029465057272,4527.087770062065
256,0,2560,0.02,True,10,0.05447449699891688,0.055050527412867034,0.06372445026960229,0.07705924050334147,5.4474496998916875,5.505052741286703,6.372445026960229,7.705924050334147,14546.7,249696.0,264242.7,145467,2496960,2642427,320.306895055174,3836.3249762553755,4156.63187131055
256,0,2560,0.05,True,10,0.05673182611795202,0.07136789103350333,0.06425352601980308,0.10794942837971008,5.673182611795202,7.136789103350333,6.425352601980308,10.794942837971009,2763.9,35963.6,38727.5,27639,359636,387275,197.11477923111997,1628.8770966848174,1825.9918759159375
256,0,2560,0.1,True,10,0.0533683634208111,0.2043672151314778,0.06233233555492908,0.2834119633766322,5.33683634208111,20.43672151314778,6.233233555492908,28.34119633766322,398.7,1552.2,1950.9,3987,15522,19509,94.09871250550098,237.9222487284156,332.0209612339166
512,0,2560,0.0,True,5,0.11091816800520946,0.11091816800520947,0.1327168975369763,0.14838929733316394,11.091816800520945,11.091816800520947,13.271689753697629,14.838929733316395,130816.0,1048576.0,1179392.0,654080,5242880,5896960,637.3651658473054,3657.858123850549,4295.223289697854
512,0,2560,0.01,True,5,0.11268871766160526,0.11283527530271875,0.13285856797997495,0.1489807419791128,11.268871766160526,11.283527530271876,13.285856797997495,14.89807419791128,91367.8,718377.2,809745.0,456839,3591886,4048725,630.961012970039,3604.2240491267803,4235.185062096819
512,0,2560,0.02,True,5,0.11521727223906517,0.11626404091735729,0.1336707239852895,0.15273530784591374,11.521727223906517,11.62640409173573,13.36707239852895,15.273530784591374,58074.4,441430.0,499504.4,290372,2207150,2497522,593.1861512648105,3290.5664638361022,3883.752615100913
512,0,2560,0.05,True,5,0.12240787876041259,0.14969658344647954,0.13806908391009895,0.20649100787849411,12.24078787604126,14.969658344647954,13.806908391009895,20.649100787849413,10804.8,61373.2,72178.0,54024,306866,360890,346.25482456067914,1330.597006025699,1676.8518305863784
512,0,2560,0.1,True,5,0.13113194095677122,0.3964933135215453,0.14827304898135601,0.4976812393423152,13.113194095677121,39.64933135215453,14.827304898135601,49.76812393423152,1334.2,2030.8,3365.0,6671,10154,16825,141.60006933645278,142.919535066512,284.51960440296483
1024,0,2560,0.0,False,,,,,,,,,,,,,,,,,,
1024,0,2560,0.01,False,,,,,,,,,,,,,,,,,,
1024,0,2560,0.02,False,,,,,,,,,,,,,,,,,,
1024,0,2560,0.05,False,,,,,,,,,,,,,,,,,,
1024,0,2560,0.1,False,,,,,,,,,,,,,,,,,,
2560,0,2560,0.0,True,1,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,3275520.0,0.0,3275520.0,3275520,0,3275520,2466.29422777258,0.0,2466.29422777258
2560,0,2560,0.01,True,1,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,2252782.0,0.0,2252782.0,2252782,0,2252782,2433.073037533429,0.0,2433.073037533429
2560,0,2560,0.02,True,1,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,1393947.0,0.0,1393947.0,1393947,0,1393947,2238.4693831828617,0.0,2238.4693831828617
2560,0,2560,0.05,True,1,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,207457.0,0.0,207457.0,207457,0,207457,1011.5533275735287,0.0,1011.5533275735287
2560,0,2560,0.1,True,1,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,11748.0,0.0,11748.0,11748,0,11748,213.05983686970882,0.0,213.05983686970882
